frame_number,vehicle_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_meters,overtaking_angle_degrees,angle_accuracy_percent,safe_to_overtake,recommendation
37,car,0.5316677093505859,982,411,1029,449,71.48936170212765,1.4,54.3,False,Low detection confidence
37,car,0.5224622488021851,894,400,946,448,64.61538461538461,-1.23,54.4,False,Low detection confidence
37,car,0.5066529512405396,1021,402,1091,471,48.0,2.94,55.5,False,Low detection confidence
38,bus,0.653340756893158,1151,235,1504,639,14.27762039660057,11.14,85.2,False,Large vehicle - maintain distance; Low detection confidence
38,car,0.5677503347396851,1021,401,1092,471,47.32394366197183,2.96,56.2,False,Low detection confidence
38,car,0.5200371742248535,895,400,946,447,65.88235294117646,-1.21,54.4,False,Low detection confidence
38,car,0.5082654356956482,983,411,1028,449,74.66666666666667,1.4,54.3,False,Low detection confidence
39,bus,0.6286347508430481,1151,235,1503,639,14.31818181818182,11.12,85.1,False,Large vehicle - maintain distance; Low detection confidence
39,car,0.545107901096344,895,400,945,448,67.2,-1.23,54.4,False,Low detection confidence
39,car,0.5241653919219971,1021,401,1092,471,47.32394366197183,2.96,56.2,False,Low detection confidence
40,car,0.5628505349159241,1021,401,1092,470,47.32394366197183,2.96,56.2,False,Low detection confidence
40,bus,0.552301287651062,1151,235,1502,639,14.358974358974361,11.11,85.1,False,Large vehicle - maintain distance; Low detection confidence
40,truck,0.546833872795105,1152,235,1503,640,13.295346628679964,11.14,86.1,False,Large vehicle - maintain distance; Low detection confidence
41,truck,0.5684672594070435,1151,234,1501,640,13.333333333333334,11.09,86.1,False,Large vehicle - maintain distance; Low detection confidence
41,car,0.551478922367096,1021,400,1093,470,46.666666666666664,2.97,56.8,False,Low detection confidence
41,motorcycle,0.5395376682281494,499,459,591,571,14.202898550724639,-12.53,84.5,False,Low detection confidence
42,bus,0.6268400549888611,1151,236,1499,639,14.482758620689658,11.06,85.0,False,Large vehicle - maintain distance; Low detection confidence
42,car,0.5318028330802917,1022,400,1093,470,47.32394366197183,2.99,56.2,False,Low detection confidence
42,car,0.5247400403022766,895,400,946,450,65.88235294117646,-1.21,54.4,False,Low detection confidence
42,motorcycle,0.5180888175964355,499,461,592,571,14.050179211469535,-12.52,84.7,False,Low detection confidence
43,bus,0.7029227018356323,1152,235,1497,638,14.608695652173916,11.05,84.9,False,Large vehicle - maintain distance
43,car,0.5623478293418884,1022,400,1094,470,46.666666666666664,3.01,56.8,False,Low detection confidence
43,motorcycle,0.5253671407699585,500,455,593,571,14.050179211469535,-12.49,84.7,False,Low detection confidence
43,car,0.5026533007621765,894,400,946,450,64.61538461538461,-1.23,54.4,False,Low detection confidence
44,truck,0.5319984555244446,1150,237,1497,638,13.448607108549472,11.02,86.0,False,Large vehicle - maintain distance; Low detection confidence
44,bus,0.5226202607154846,1150,238,1497,637,14.524495677233432,11.02,85.0,False,Large vehicle - maintain distance; Low detection confidence
44,car,0.5129894614219666,1022,401,1094,470,46.666666666666664,3.01,56.8,False,Low detection confidence
44,car,0.5121705532073975,895,400,946,449,65.88235294117646,-1.21,54.4,False,Low detection confidence
45,truck,0.6493445038795471,1149,238,1495,638,13.48747591522158,10.98,86.0,False,Large vehicle - maintain distance; Low detection confidence
45,car,0.5345354080200195,1022,400,1095,470,46.02739726027397,3.02,57.5,False,Low detection confidence
45,car,0.5088636875152588,895,400,946,449,65.88235294117646,-1.21,54.4,False,Low detection confidence
46,truck,0.6963932514190674,1149,238,1494,637,13.52657004830918,10.96,86.0,False,Large vehicle - maintain distance; Low detection confidence
46,car,0.599679708480835,1022,400,1095,469,46.02739726027397,3.02,57.5,False,Low detection confidence
47,bus,0.5732417106628418,1149,240,1492,638,14.69387755102041,10.93,84.8,False,Large vehicle - maintain distance; Low detection confidence
47,truck,0.5435301065444946,1150,239,1492,638,13.645224171539962,10.95,85.9,False,Large vehicle - maintain distance; Low detection confidence
47,car,0.5218314528465271,1022,400,1094,469,46.666666666666664,3.01,56.8,False,Low detection confidence
48,bus,0.5727517008781433,1150,240,1493,637,14.69387755102041,10.96,84.8,False,Large vehicle - maintain distance; Low detection confidence
48,car,0.5179380774497986,895,400,946,451,65.88235294117646,-1.21,54.4,False,Low detection confidence
48,truck,0.5122634768486023,1150,239,1492,638,13.645224171539962,10.95,85.9,False,Large vehicle - maintain distance; Low detection confidence
48,car,0.508564829826355,1022,400,1092,469,48.0,2.97,55.5,False,Low detection confidence
49,truck,0.6733901500701904,1149,239,1490,637,13.685239491691105,10.9,85.9,False,Large vehicle - maintain distance; Low detection confidence
49,car,0.561065673828125,1022,399,1093,469,47.32394366197183,2.99,56.2,False,Low detection confidence
50,truck,0.6305680871009827,1149,241,1488,637,13.76597836774828,10.87,85.8,False,Large vehicle - maintain distance; Low detection confidence
50,car,0.5210815668106079,1023,401,1094,469,47.32394366197183,3.02,56.2,False,Low detection confidence
51,bus,0.6159576773643494,1147,243,1487,637,14.823529411764708,10.83,84.8,False,Large vehicle - maintain distance; Low detection confidence
51,car,0.5268229842185974,1023,401,1094,469,47.32394366197183,3.02,56.2,False,Low detection confidence
52,bus,0.673176109790802,1147,243,1484,637,14.955489614243326,10.78,84.7,False,Large vehicle - maintain distance; Low detection confidence
53,bus,0.5970802903175354,1145,243,1484,635,14.867256637168145,10.75,84.8,False,Large vehicle - maintain distance; Low detection confidence
54,bus,0.5822613835334778,1145,242,1484,634,14.867256637168145,10.75,84.8,False,Large vehicle - maintain distance; Low detection confidence
55,bus,0.7380106449127197,1144,242,1483,634,14.867256637168145,10.72,84.8,False,Large vehicle - maintain distance
56,bus,0.6552944779396057,1143,241,1481,632,14.9112426035503,10.68,84.7,False,Large vehicle - maintain distance; Low detection confidence
57,bus,0.6713168025016785,1144,241,1481,632,14.955489614243326,10.69,84.7,False,Large vehicle - maintain distance; Low detection confidence
58,bus,0.7703922390937805,1143,240,1478,631,15.044776119402988,10.63,84.6,False,Large vehicle - maintain distance
59,bus,0.8738480806350708,1142,239,1477,630,15.044776119402988,10.6,84.7,False,Large vehicle - maintain distance
60,bus,0.8523035645484924,1142,239,1474,630,15.180722891566267,10.56,84.5,False,Large vehicle - maintain distance
61,bus,0.8286030292510986,1140,238,1471,631,15.226586102719036,10.49,84.5,False,Large vehicle - maintain distance
62,bus,0.8727239966392517,1143,238,1471,629,15.365853658536588,10.53,84.4,False,Large vehicle - maintain distance
63,bus,0.8626245260238647,1142,238,1469,629,15.412844036697251,10.49,84.3,False,Large vehicle - maintain distance
64,bus,0.7174074649810791,1140,240,1469,631,15.319148936170215,10.46,84.5,False,Large vehicle - maintain distance
64,car,0.5271981358528137,1024,396,1093,466,48.69565217391305,3.02,54.8,False,Low detection confidence
65,truck,0.6611295938491821,1139,240,1467,632,14.227642276422765,10.41,85.6,False,Large vehicle - maintain distance; Low detection confidence
65,car,0.5850562453269958,1024,396,1093,466,48.69565217391305,3.02,54.8,False,Low detection confidence
66,truck,0.7782300710678101,1139,238,1467,632,14.227642276422765,10.41,85.6,False,Large vehicle - maintain distance
66,car,0.6134387254714966,1024,396,1094,466,48.0,3.04,55.5,False,Low detection confidence
67,bus,0.6421083807945251,1137,239,1466,631,15.319148936170215,10.37,84.5,False,Large vehicle - maintain distance; Low detection confidence
67,car,0.5892407298088074,1025,396,1095,466,48.0,3.07,55.5,False,Low detection confidence
68,truck,0.6832729578018188,1139,238,1464,628,14.35897435897436,10.37,85.5,False,Large vehicle - maintain distance; Low detection confidence
68,car,0.571703314781189,1026,396,1093,466,50.149253731343286,3.05,53.5,False,Low detection confidence
69,truck,0.6432415246963501,1138,239,1464,627,14.314928425357873,10.35,85.5,False,Large vehicle - maintain distance; Low detection confidence
69,car,0.5256239771842957,1027,395,1093,466,50.90909090909091,3.07,53.5,False,Low detection confidence
70,bus,0.5136749148368835,1139,237,1460,626,15.700934579439256,10.31,84.1,False,Large vehicle - maintain distance; Low detection confidence
71,truck,0.5791254639625549,1135,239,1461,627,14.314928425357873,10.26,85.6,False,Large vehicle - maintain distance; Low detection confidence
